_RAJ2000	_DEJ2000	RAJ2000	DEJ2000	2MASS	Jmag	e_Jmag	Hmag	e_Hmag	Kmag	e_Kmag	Qflg	Rflg	Bflg	Cflg	Xflg	Aflg
008.202092	+48.639736	008.202092	+48.639736	00324850+4838230	16.563	0.120	15.768	0.112	15.563	0.179	BBC	222	111	000	0	0
008.203805	+48.687424	008.203805	+48.687424	00324891+4841147	12.933	0.022	12.249	0.023	12.039	0.023	AAA	222	111	000	0	0
008.204118	+48.627918	008.204118	+48.627918	00324898+4837405	16.372	0.101	15.874	0.144	15.881		ABU	220	110	000	0	0
008.195899	+48.669373	008.195899	+48.669373	00324701+4840097	16.130	0.086	15.834	0.123	15.624	0.170	ABC	222	111	000	0	0
008.196254	+48.682014	008.196254	+48.682014	00324710+4840552	16.212	0.091	15.569	0.101	15.600	0.161	AAC	222	111	000	0	0
008.305039	+48.678986	008.305039	+48.678986	00331320+4840443	15.657		15.498	0.103	15.344		UAU	626	020	0c0	0	0
008.312260	+48.680820	008.312260	+48.680820	00331494+4840509	17.160	0.200	16.241	0.191	16.352	0.307	CCD	222	111	000	0	0
008.282920	+48.659748	008.282920	+48.659748	00330790+4839350	16.375	0.104	15.887	0.151	15.429	0.152	ABB	222	111	c0c	0	0
008.286300	+48.684677	008.286300	+48.684677	00330871+4841048	15.281	0.041	14.759	0.066	14.750	0.081	AAA	222	111	000	0	0
008.299021	+48.643143	008.299021	+48.643143	00331176+4838353	13.882	0.024	13.453	0.027	13.364	0.028	AAA	222	111	000	0	0
008.300668	+48.670490	008.300668	+48.670490	00331216+4840137	16.069	0.079	15.654	0.117	15.375	0.131	ABB	222	111	000	0	0
008.310219	+48.656998	008.310219	+48.656998	00331445+4839251	16.084	0.088	15.532	0.099	15.460	0.162	AAC	222	111	ccc	0	0
008.282499	+48.657707	008.282499	+48.657707	00330779+4839277	16.554	0.120	16.200	0.199	15.419		BCU	220	110	cc0	0	0
008.309202	+48.641903	008.309202	+48.641903	00331420+4838308	16.089	0.079	15.732	0.128	15.587	0.173	ABC	222	111	c00	0	0
008.307825	+48.659843	008.307825	+48.659843	00331387+4839354	11.332	0.022	11.134	0.024	11.066	0.018	AAA	222	111	000	0	0
008.307760	+48.649536	008.307760	+48.649536	00331386+4838583	14.187	0.029	13.830	0.037	13.748	0.042	AAA	222	111	000	0	0
008.307308	+48.639347	008.307308	+48.639347	00331375+4838216	12.863	0.022	12.580	0.024	12.536	0.024	AAA	222	111	000	0	0
008.282603	+48.663643	008.282603	+48.663643	00330782+4839491	15.905	0.068	15.468	0.101	15.522	0.165	AAC	222	111	00c	0	0
008.282992	+48.684200	008.282992	+48.684200	00330791+4841031	16.919	0.162	15.862	0.141	16.663		CBU	220	110	000	0	0
008.280163	+48.671902	008.280163	+48.671902	00330723+4840188	15.343	0.048	14.685	0.057	14.755	0.083	AAA	222	111	000	0	0
008.279293	+48.637814	008.279293	+48.637814	00330703+4838161	16.408	0.106	15.928	0.144	15.864		ABU	220	110	000	0	0
008.269097	+48.660679	008.269097	+48.660679	00330458+4839384	16.176	0.086	15.776	0.126	15.395		ABU	220	110	cc0	0	0
008.275048	+48.671593	008.275048	+48.671593	00330601+4840177	16.129	0.086	15.431	0.084	15.351	0.135	AAB	222	111	c0c	0	0
008.277257	+48.643749	008.277257	+48.643749	00330654+4838374	13.835	0.026	13.371	0.029	13.292	0.032	AAA	222	111	000	0	0
008.272766	+48.626774	008.272766	+48.626774	00330546+4837363	17.032	0.194	15.982	0.160	15.696		CCU	220	110	000	0	0
008.275353	+48.634121	008.275353	+48.634121	00330608+4838028	13.561	0.026	13.158	0.026	13.096	0.024	AAA	222	111	000	0	0
008.269250	+48.634144	008.269250	+48.634144	00330462+4838029	15.804	0.070	15.450	0.102	15.294	0.139	AAB	222	111	000	0	0
008.265044	+48.641693	008.265044	+48.641693	00330361+4838300	15.729	0.062	15.404	0.093	15.049	0.108	AAA	222	111	ccc	0	0
008.262321	+48.686638	008.262321	+48.686638	00330295+4841118	16.783	0.155	16.200	0.184	15.783		BCU	220	110	cc0	0	0
008.259641	+48.626396	008.259641	+48.626396	00330231+4837350	13.255	0.023	12.929	0.026	12.841	0.024	AAA	222	111	000	0	0
008.316318	+48.676113	008.316318	+48.676113	00331591+4840340	14.909	0.038	14.439	0.049	14.405	0.061	AAA	222	111	000	0	0
008.314726	+48.674076	008.314726	+48.674076	00331553+4840266	16.681	0.129	16.338	0.202	15.854	0.205	BCD	222	111	000	0	0
